 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
508,7/9/2023 8:27:00 PM,Tanque 1003,139200,38000,Therlet 4,23,OK
512,7/9/2023 11:30:00 PM,Tanque 1002,140000,41360,Therlet 4,28,OK
517,7/10/2023 1:30:00 AM,Tanque 1002,135200,39120,Therlet 4,29,OK
521,7/10/2023 3:30:00 AM,Tanque 1001,128000,38240,Therlet 4,26,OK
525,7/10/2023 5:30:00 AM,Tanque 1001,141200,40480,Therlet 4,24,OK
529,7/10/2023 3:34:00 PM,Tanque 1002,134000,39600,Therlet 4,25,OK
534,7/10/2023 6:29:00 PM,Tanque 1001,133600,38400,Therlet 4,24,OK
540,7/10/2023 9:32:00 PM,Tanque 1002,135600,39200,Therlet 4,25,OK
549,7/11/2023 1:30:00 AM,Tanque 1003,127200,38720,Therlet 4,28,OK
554,7/11/2023 4:30:00 AM,Tanque 1001,143200,42320,Therlet 4,24,OK
558,7/11/2023 6:30:00 AM,Tanque 1001,129000,37600,Therlet 4,24,OK
564,7/11/2023 3:33:00 PM,Tanque 1002,129200,37360,Therlet 4,23,OK
569,7/11/2023 6:22:00 PM,Tanque 1002,145600,38080,Therlet 4,26,OK
576,7/11/2023 9:32:00 PM,Tanque 1003,139200,41040,Therlet 4,25,OK
582,7/12/2023 12:30:00 AM,Tanque 1002,131600,39840,Therlet 4,25,OK
592,7/12/2023 3:30:00 AM,Tanque 1001,130400,39200,Therlet 4,25,OK
596,7/12/2023 7:30:00 AM,Tanque 1003,126600,38000,Therlet 4,25,OK
600,7/12/2023 9:30:00 AM,Tanque 1003,124200,34080,Therlet 4,25,OK
603,7/12/2023 12:30:00 PM,Tanque 1002,131600,38880,Therlet 4,23,OK
607,7/12/2023 2:38:00 PM,Tanque 1001,126400,38880,Therlet 4,28,OK
611,7/12/2023 4:30:00 PM,Tanque 1003,134600,42720,Therlet 4,25,OK
